trade_date_id,create_order_date,buy_ticket,sell_ticket,account_balance,account_equity,account_margin,current_market_price,buy_volume,sell_volume,buy_at,sell_at,first_buy_at,first_sell_at,buy_status,sell_status,fib_number,next_fib_number,next_volume,next_buy_at,next_sell_at,market_direction,close_all_order_type,max_buy_direction_price,max_sell_direction_price,close_all_when_market_reverse_price_at,is_first_order_of_sequence
151123012209,2023-11-15 01:22:09.265023,524131098,524131109,6132.38,6132.37,0.0,1.24894,0.01,0.01,1.24894,1.24896,1.24894,1.24896,close,close,1,1.0,0.01,1.25094,1.24696,,,1.24894,1.24896,,True
151123223217,2023-11-15 22:32:17.797541,524938391,524938402,6150.84,6130.64,2171.47,1.24187,0.01,0.01,1.24187,1.24187,1.24894,1.24896,close,close,1,2.0,0.02,1.24387,1.23987,sell,buy,1.24187,1.24187,1.243997,False
151123231100,2023-11-15 23:11:00.446281,524997486,524997533,6138.87,6128.86,1085.67,1.2452,0.02,0.02,1.2452,1.2452,1.24894,1.24896,close,close,2,3.0,0.03,1.2472,1.2432,buy,sell,1.2452,1.2452,1.2463220000000002,False
161123092652,2023-11-16 09:26:52.652493,525345894,525345895,6125.45,6125.29,1000.0,1.23994,0.01,0.01,1.23994,1.23994,1.23994,1.23994,close,close,1,1.0,0.01,1.24194,1.23794,,,1.23994,1.23994,,True
161123204158,2023-11-16 20:41:58.678044,525769709,525769722,6126.8,6124.06,1239.94,1.24264,0.01,0.01,1.24266,1.24266,1.24894,1.24896,close,close,1,2.0,0.02,1.24466,1.24066,buy,sell,1.24266,1.24266,1.244544,False
161123223200,2023-11-16 22:32:00.762509,525915680,525915713,6125.02,6121.97,2089.38,1.2454,0.01,0.01,1.24536,1.24542,1.24536,1.24542,close,close,1,1.0,0.01,1.24736,1.24342,,,1.24536,1.24542,,True
161123224703,2023-11-16 22:47:03.059111,525935198,525935216,6123.93,6121.77,1245.36,1.24322,0.01,0.01,1.2433,1.2433,1.24894,1.24896,close,close,1,2.0,0.02,1.2453,1.2413,sell,buy,1.2433,1.24184,1.2399176,False
171123094202,2023-11-17 09:42:02.973918,526258979,526258987,6125.08,6118.4,0.0,1.24048,0.01,0.01,1.2405,1.2405,1.2405,1.2405,close,close,1,1.0,0.01,1.2425,1.2385,,,1.2405,1.2405,,True
171123141206,2023-11-17 14:12:06.407316,526365437,526365439,6120.06,6117.82,1240.5,1.23835,0.01,0.01,1.23835,1.23836,1.24894,1.24896,close,close,1,2.0,0.02,1.24035,1.23636,sell,buy,1.23835,1.23773,1.2346979,False
171123185921,2023-11-17 18:59:21.496904,526603864,526603871,6115.82,6115.43,0.0,1.24286,0.02,0.02,1.24286,1.24284,1.24286,1.24284,close,close,1,1.0,0.02,1.24486,1.24084,,,1.24286,1.24284,,True
201123090103,2023-11-20 09:01:03.087527,527169089,527169098,6130.94,6113.92,2177.44,1.24688,0.02,0.02,1.24686,1.24686,1.24894,1.24896,close,close,1,2.0,0.04,1.24886,1.24486,buy,sell,1.24686,1.24686,1.247484,False
